NAME,PRICE,MILES,IGNORE
-,kawasaki ninja 300,"Washington, DC",2995.38
2018 Kawasaki ninja,4500,-1
2011 Kawasaki ninja,-1,20000
Ninja 300 roller,650,-1
2013 Kawasaki ninja 300,1800,-1
2012 Kawasaki ninja,2650,-1
2014 Kawasaki ninja,3300,7000
2015 Kawasaki ninja,3200,45000
2017 Kawasaki z,4800,-1
CBR 500,5500,-1
2008 Kawasaki ninja,3000,9000
-,kawasaki ninja 300,"Atlanta, GA",2490.61
2014 Kawasaki ninja,3700,9000
2022 Kawasaki ninja,2750,-1
2012 Kawasaki ninja,3400,-1
2016 Kawasaki ninja 650,900,-1
2014 Kawasaki ninja,2500,20000
2021 Kawasaki ninja 400 abs,1234,-1
2015 Kawasaki,3800,-1
2008 Kawasaki ninja,800,1000
2017 Hyosung gd250rr,2250,650
2022 Dong Fang other,1500,300
2004 Kawasaki ninja,4500,20000
2021 Kawasaki ninja,5000,-1
Kawasaki 300,-2,-1
2008 Kawasaki ninja,-2,300
2017 Kawasaki zx10r parting out,1000,-1
2015 Kawasaki ninja 650 abs,4000,13000
2011 Kawasaki ninja,1800,19000
2022 Kawasaki ninja ex400,5500,-1
14 Ninja 300 sell or Trade,4000,-1
2002 Kawasaki vulcan,1600,17000
2023 Kawasaki ninja,5500,300
kawasaki ninja 2022 replica,900,-1
2016 Kawasaki ninja,650,6000
-,kawasaki ninja 300,"Columbus, OH",3201.96
2017 Kawasaki ninja 300 (ex300),3700,-1
2008 Kawasaki ninja,1500,12000
2009 Kawasaki ninja,3000,-1
2023 Kawasaki ninja,5499,300
2013 Kawasaki ninja,4000,14000
2014 Kawasaki ninja,4250,-1
2022 Kawasaki Ninja 400 KRT Edition,4500,-1
1992 Kawasaki ninja,1200,8000
2015 Kawasaki ninja 300 special edition,3500,12000
2011 Kawasaki ninja 250cc,2950,-1
2010 Kawasaki ninga 300,3000,11000
2023 Kawasaki z400,4599,-1
2017 Kawasaki ninja,4000,-1
2010 Kawasaki ninja,2000,14000
2014 Kawasaki ninja 300 special edition,3350,10000
2013 Kawasaki ninja,2600,14000
2023 Kawasaki ninja,5000,-1
2009 Kawasaki ninja,2500,16000
2008 Kawasaki ninja,1500,13000
2021 Kawasaki ninja,4500,10000
2008 Kawasaki ninja,2700,12000
2016 Kawasaki ninja,3999,706
2009 Kawasaki ninja,3000,8000
2004 Kawasaki ninja,-2,10000
-,kawasaki ninja 300,"Dallas, TX",3639.71
2014 Kawasaki ninja 300 abs se,3700,15000
2016 Kawasaki ninja,3500,-1
2006 Kawasaki ex 650,1800,14000
2014 Kawasaki ninja,3100,4000
2023 Kawasaki ninja,5500,300
2011 Kawasaki Kawasaki,2900,-1
2018 Kawasaki ninja,6000,-1
2023 VENOM x22-gt 250 venom,2995,322
2016 Kawasaki ninja,1234,2000
2018 Kawasaki ninja 400 abs,4000,14000
