-,kawasaki ninja 300,"Washington, DC",3550.0
2022 Kawasaki ninja,2022,5000,800
2020 Honda cbr 650r,2020,7000,300
2017 Yamaha yzfr,2017,5450,500
2017 Yamaha yzf,2017,1234,300
2016 Yamaha yzf,2016,4000,2300
2021 Yamaha yzfr,2021,5450,-1
2019 Yamaha yzf,2019,5000,1000
2013 Honda cbr,2013,3600,1800
2008 Kawasaki ninja 650r,2008,3300,900
2008 Kawasaki ninja,2008,2200,2000
2018 Kawasaki ninja,2018,5800,5100
2022 Yamaha other,2022,4000,300
2017 Yamaha r3,2017,3000,1800
2019 Yamaha yzf,2019,5000,1500
2020 Yamaha yzf,2020,4175,5900
-,yamaha r3,"Dallas, TX",3929.61
2020 Yamaha yzf,2020,3800,1700
2019 Yamaha yzf,2019,4000,1700
2024 Yamaha yzf,2024,5499,300
2011 Kawasaki ninja,2011,1900,600
2023 Yamaha yzf r3  abs,2023,5499,333
2023 VENOM x22-gt 250cc Venom,2023,2995,322
2011 Kawasaki Kawasaki,2011,2900,2700
2024 Yamaha yzf,2024,5499,300
2017 Yamaha yzf,2017,5000,800
2016 Yamaha yzfr,2016,2000,5400
2024 Yamaha r7,2024,1234,300
2018 Yamaha yzf r3 abs,2018,5499,668
2024 Yamaha yzf,2024,5499,-1
2020 Yamaha yzf,2020,4500,600
2020 Yamaha yzf,2020,5000,500
2016 Yamaha yzf,2016,1234,300
2019 Yamaha yzfr,2019,1000,3900
2024 Yamaha r7,2024,9199,300
2016 Yamaha yzf,2016,3900,6100
2022 Vitacci effi,2022,2500,100
2016 Yamaha yzfr,2016,4175,1200
2021 Yamaha yzf,2021,4949,1600
2009 Kawasaki,2009,2600,900
-,yamaha r6,"Washington, DC",6266.81
2008 Yamaha yzf,2008,6500,1900
2007 Yamaha r6 raven,2007,6950,1400
2019 Yamaha yzf,2019,5200,2400
2008 Yamaha yzf,2008,8750,6600
2009 Yamaha yzf,2009,6899,1800
2014 Yamaha yzf,2014,7799,1700
2007 Yamaha r6 raven,2007,7000,1400
2023 Kawasaki ninja,2023,6300,8800
2019 Yamaha yzf,2019,14000,2600
2016 Yamaha yzf,2016,5000,6700
2017 Yamaha yzf,2017,10800,7500
2004 Yamaha raptor 660r,2004,2500,100
2008 Yamaha r6 limited conair edition,2008,5500,1800
2011 Yamaha fz,2011,3240,2300
2007 Yamaha yzf,2007,7500,1800
2007 Yamaha yzf,2007,5000,4500
2014 Suzuki gsxr,2014,6000,3200
2016 Yamaha yzf,2016,5465,1600
2008 Kawasaki ninja,2008,1800,4200
2007 Suzuki hayabua,2007,3900,2400
2017 Yamaha yzf,2017,5500,600
-,yamaha r6,"Richmond, VA",7113.89
2001 Yamaha yzf,2001,3000,300
2001 Yamaha yzf,2001,3500,3200
2009 Yamaha yzf,2009,7000,2000
2008 Yamaha yzf,2008,6500,1900
2008 Yamaha yzf,2008,4500,1500
2005 Suzuki gsx-r,2005,4500,2200
2012 BMW s1000,2012,12000,1800
2006 Yamaha yzf,2006,6800,8100
2017 Ducati 959 panigale,2017,12500,500
2019 Yamaha yzf,2019,14000,2600
2007 Yamaha r6 raven,2007,6950,1400
2016 Kawasaki ninja 300,2016,2500,2500
2023 Kawasaki ninja,2023,6300,8800
2007 Yamaha yzf,2007,7500,1800
2021 Kawasaki ninja,2021,10000,3100
2012 Yamaha yzf,2012,5500,4200
2011 Yamaha fzr6,2011,5500,2100
2022 Yamaha r7,2022,9500,1500
-,yamaha r6,"Virginia Beach, VA",6543.0
2001 Yamaha yzf,2001,3500,3200
2004 Yamaha yzf,2004,4300,2200
2007 Yamaha yzf,2007,3000,8200
2008 Yamaha yzf,2008,6500,1900
2006 Suzuki gsx-r,2006,3600,1500
2023 Kawasaki ninja,2023,6800,3600
2018 Ducati panigale 959,2018,10125,2400
2023 Kawasaki ninja 400 krt edition,2023,4500,1200
2008 Yamaha yzf,2008,4500,1500
2018 Kawasaki ninja,2018,4500,600
2023 Kawasaki ninja,2023,6300,8800
2012 Suzuki gsxr,2012,7000,8200
2012 Yamaha yzfr,2012,7000,3200
2007 Yamaha r6 raven,2007,6950,1400
2024 Kawasaki ninja,2024,11399,300
2019 Kawasaki ninja,2019,7000,2600
2019 Yamaha yzf,2019,14000,2600
2006 Yamaha yzf,2006,6800,8100
-,yamaha r6,"Orlando, FL",7231.47
2012 Yamaha r6 super clean low miles,2012,7800,1000
2018 Yamaha yzf,2018,11000,5100
2008 Yamaha yzf,2008,6500,1000
2013 Yamaha yzf,2013,8900,9500
2008 Yamaha r6 600,2008,5500,500
2021 Yamaha yzf,2021,4950,4700
2023 Kawasaki ninja,2023,5000,500
2017 Yamaha yzf,2017,12998,1900
2006 Yamaha Yamaha YZF-R6,2006,7000,2300
2012 Yamaha yzf,2012,5500,8800
2005 Yamaha yzf,2005,3500,500
2020 Yamaha yzf,2020,10000,1500
2016 Yamaha r6 60th anniversary,2016,13500,1200
2008 Yamaha yzf,2008,8000,1800
2006 Yamaha yzf,2006,7500,600
2009 Yamaha r6 special edition,2009,6250,3600
2009 Kawasaki ninja,2009,2000,3000
2007 Yamaha yzf,2007,6000,2800
2008 Yamaha yzf,2008,5500,2200
-,yamaha r6,"Jacksonville, FL",7558.45
2007 Yamaha yzf,2007,6000,2800
2012 Yamaha r6 super clean low miles,2012,7800,1000
2012 Yamaha yzf,2012,5500,8800
2020 Yamaha yzf,2020,11495,2700
2018 Yamaha yzf-r3 abs,2018,4800,8800
2003 Yamaha yzf,2003,5000,2800
2006 Yamaha yzfr,2006,7495,1800
2009 Yamaha yzf,2009,8000,1600
2015 Yamaha yzf-r1,2015,3200,1800
2016 Yamaha yzf,2016,9999,1800
2015 Honda cbr,2015,3000,3000
2023 Yamaha r6 track edition,2023,13500,300
2012 Yamaha yzf,2012,8500,400
2020 Yamaha yzf,2020,10000,1500
2016 Yamaha r6 60th anniversary,2016,10000,1200
2019 Kawasaki zx-6r 636 (abs),2019,8500,7400
2018 Yamaha yzf,2018,11000,5100
2015 Yamaha yzf,2015,3800,1100
2007 Yamaha yzf,2007,7580,2500
2006 Yamaha r6 600cc,2006,6000,1100
-,yamaha r6,"Philadelphia, PA",4828.95
2007 Yamaha yzf,2007,5000,4500
2005 Yamaha yzf,2005,3500,2000
2005 Yamaha yzf,2005,3000,4000
2008 Yamaha r6 limited conair edition,2008,5500,1800
2018 YAMAHA 250f,2018,3500,-1
2005 Yamaha r6,2005,4000,3000
2016 Kawasaki kxf,2016,3000,100
2018 Yamaha yzf-r1,2018,4850,1800
2003 Yamaha yzf,2003,4000,8500
2008 Yamaha yzf,2008,6500,1900
2014 Yamaha yzf,2014,6000,2700
2007 Yamaha yzf,2007,6400,2100
2004 Suzuki gsx-r,2004,4200,1600
2016 Yamaha yzf,2016,8200,500
2007 Yamaha yzf,2007,4100,1900
2003 Yamaha yzf600r,2003,2800,2200
2011 Kawasaki ninja sx 1000,2011,3200,1400
2005 Yamaha yzf,2005,5000,600
2015 Yamaha yzf,2015,9000,800
-,yamaha r6,"Pittsburgh, PA",4340.35
2005 Yamaha yzf r6 trade,2005,1234,2700
2004 Yamaha yzf,2004,5600,7700
2016 Yamaha yzf,2016,5465,1600
2008 Yamaha yzf,2008,1234,2900
2012 Yamaha yzf,2012,8000,4900
2009 Honda cbr,2009,6000,2000
2005 Kawasaki ninja zx10r,2005,4000,3100
2019 Kawasaki ninja,2019,7000,3300
2006 Yamaha yzf,2006,4050,2100
2016 Yamaha R6,2016,8000,2800
2018 Yamaha mt,2018,8000,800
2001 Yamaha yzf,2001,3000,3300
2017 Kawasaki z,2017,5500,1100
2011 Yamaha yzf,2011,0,1100
2004 Yamaha yzf (trades),2004,1234,1600
2015 Yamaha yzf,2015,3669,7500
2021 Kawasaki ninja replica,2021,1800,1500
-,yamaha r6,"Baltimore, MD",6333.29
2008 Yamaha yzf,2008,6500,1900
2014 Yamaha yzf,2014,7799,1700
2005 Yamaha yzf,2005,3000,4000
2009 Yamaha yzf,2009,7500,1500
2016 Yamaha yzf,2016,5000,6700
2019 Yamaha yzf,2019,4500,6300
2007 Yamaha yzf,2007,5000,4500
2007 Yamaha yzf,2007,7500,1400
2008 Yamaha r6 limited conair edition,2008,5500,1800
2023 Kawasaki ninja,2023,6300,8800
2007 Yamaha r6 raven,2007,6950,1400
2019 Yamaha yzf,2019,5200,2400
2001 Yamaha yzf,2001,1600,2400
2006 Suzuki gsxr,2006,4800,1800
2017 Yamaha yzf,2017,10800,7500
2019 Yamaha yzf,2019,14000,2600
2008 Yamaha yzf,2008,8750,6600
2006 Yamaha yzf,2006,6000,2300
2001 Yamaha yzf,2001,2600,8600
2019 Yamaha yzf,2019,4700,4100
2015 Yamaha yzf,2015,9000,1000
-,yamaha r6,"New York City, NY",6455.88
2014 Yamaha yzf,2014,6000,2700
2008 Yamaha yzf,2008,6500,800
2007 Yamaha r6 (f6s),2007,4000,1200
2005 Yamaha yzf,2005,5000,600
2020 Yamaha yzf,2020,13000,700
2016 Yamaha yzf,2016,8200,500
2018 Yamaha yzf,2018,12000,2900
2006 Yamaha yzf,2006,6500,5500
2008 Yamaha yzf,2008,4500,600
2006 Yamaha yzf,2006,5200,1800
2008 Yamaha yzf,2008,5000,1500
2005 Yamaha r6,2005,4000,3000
2007 Yamaha yzf,2007,4100,1900
2019 Yamaha yzf,2019,5000,3100
2001 Yamaha yzf600r thundercat,2001,3500,5900
2018 Yamaha yzf,2018,11000,1500
2007 Yamaha yzf,2007,6250,2200
-,yamaha r6,"Atlanta, GA",6259.78
2006 Yamaha yzf,2006,3800,2400
2006 Yamaha yzf,2006,5999,1400
2006 Yamaha yzf,2006,4200,2500
2017 Yamaha yzf-r3 abs,2017,2250,2000
2014 Yamaha yzf,2014,8500,7500
2004 Honda cbr,2004,4000,2400
2008 Yamaha r6,2008,5678,1700
2007 Suzuki gsxr,2007,4999,1000
2020 Yamaha yzf,2020,13500,1700
2008 Suzuki gsx-r,2008,4500,3500
2018 Yamaha yzf,2018,11000,1200
2006 Suzuki gsx-r,2006,5700,1800
2015 Yamaha yzf,2015,3500,3500
2010 Yamaha yzf,2010,7300,9400
2009 Yamaha yzf,2009,6550,600
2005 Kawasaki,2005,4000,1900
2017 Yamaha yzf,2017,14000,1700
2005 Suzuki gsx-r,2005,3200,1400
-,yamaha r6,"Newark, NJ",6382.35
2014 Yamaha yzf,2014,6000,2700
2005 Yamaha yzf,2005,5000,600
2008 Yamaha yzf,2008,6500,800
2007 Yamaha r6 (f6s),2007,4000,1200
2016 Yamaha yzf,2016,8200,500
2006 Yamaha yzf,2006,6500,5500
2020 Yamaha yzf,2020,13000,700
2018 Yamaha yzf,2018,12000,2900
2008 Yamaha yzf,2008,4500,600
2007 Yamaha yzf,2007,5000,4500
2018 Yamaha yzf,2018,11000,1500
2006 Yamaha yzf,2006,5200,1800
2019 Yamaha yzf,2019,5000,3100
2007 Yamaha yzf,2007,4100,1900
2005 Yamaha r6,2005,4000,3000
2008 Yamaha yzf,2008,5000,1500
2001 Yamaha yzf600r thundercat,2001,3500,5900
-,yamaha r6,"Cleveland, OH",5580.18
2007 Yamaha yzf,2007,4000,1800
2016 Yamaha R6,2016,8000,2800
2016 Yamaha yzf,2016,5465,1600
2007 Suzuki gsx-r,2007,5500,10000
2000 Yamaha yzf,2000,4200,2100
2006 Yamaha yzf,2006,5750,2100
2017 Yamaha yzf,2017,3800,1900
2004 Yamaha yzf,2004,5600,7700
2017 Kawasaki other,2017,2000,600
2021 Yamaha yzfr,2021,3500,1500
2008 Gsxr 600,2008,5000,1200
2024 Kawasaki ninja,2024,10250,3500
2012 Yamaha yzf-r1,2012,8500,2700
2008 Honda cbr,2008,5500,2400
2024 Yamaha yzf,2024,5499,300
2016 Yamaha yzf,2016,5000,6900
2008 Yamaha yzf,2008,7299,2300
-,yamaha r6,"Charlotte, NC",6944.74
2007 Yamaha yzf,2007,6000,1600
2012 Yamaha yzf,2012,6800,900
2007 Yamaha yzf,2007,4500,3400
2012 Yamaha yzf,2012,5500,4200
2016 Yamaha r6 60th anniversary edition,2016,9000,7700
2008 Yamaha yzf,2008,4500,1500
2010 Yamaha yzf,2010,5500,3400
2008 Ducati,2008,8000,1100
2008 Yamaha yzf,2008,7200,1100
2007 Kawasaki 650r,2007,3500,1800
2018 Yamaha yzf,2018,12500,5900
2013 Yamaha r6,2013,8500,-1
2014 Yamaha yzf,2014,4500,3000
2018 Yamaha yzf,2018,11000,1200
2009 Yamaha r6,2009,5000,3200
2014 Yamaha yzf,2014,8450,2800
2009 Yamaha yzf,2009,8000,8900
2011 Suzuki gsx-r,2011,8500,500
2015 Kawaskai zx6r,2015,5000,1100
-,yamaha r6,"Nashville, TN",4443.0
2006 Yamaha R6 2006,2006,4700,18000
2012 Yamaha yzf,2012,6500,3000
2006 Yamaha yzf,2006,7000,2900
2018 Suzuki gsx,2018,4000,100
2013 Kawasaki ninja,2013,3000,700
2007 Yamaha yzf,2007,6000,3000
2011 Kawasaki ninja,2011,1800,6200
2016 Yamaha yzf,2016,4000,2300
2020 Honda cbr 650r,2020,7000,300
2001 Yamaha yzf,2001,2000,4600
2012 Yamaha fz,2012,5499,-1
2002 Yamaha yzf,2002,700,1500
2008 Yamaha yzf,2008,7500,1000
2003 Yamaha yzf,2003,4000,4300
2003 Suzuki gsx-r,2003,2500,3000
2020 Yamaha yzf,2020,4175,5900
2005 Yamaha supersport,2005,4000,2900
2008 Honda cbr,2008,5600,1900
-,yamaha r6,"Dallas, TX",6576.29
2017 Yamaha yzf,2017,10000,300
2017 Yamaha yzf,2017,13000,7200
2003 Yamaha r6,2003,3900,2500
2015 Yamaha yzf,2015,9250,2900
2011 Kawasaki ninja,2011,1900,600
2016 Yamaha r6 60th anniversary,2016,11499,9600
2010 Yamaha yzf,2010,7999,1200
2019 Yamaha yzf,2019,4000,1700
2023 VENOM x22-gt 250cc Venom,2023,2995,322
2013 Yamaha yzf,2013,8500,1100
2003 Yamaha yzf,2003,4800,2000
2019 Yamaha yzf-r6 abs,2019,13299,3400
2007 Yamaha r6,2007,6000,7200
2004 Yamaha yzf,2004,3500,3500
2005 Yamaha yzf,2005,5555,2000
2009 Yamaha fz,2009,2700,2000
2011 Kawasaki Kawasaki,2011,2900,2700
-,2008 honda accord,"Washington, DC",3727.37
2008 Honda accord,2008,3900,17000
2008 Honda accord,2008,3000,14300
2009 Honda accord EX Sedan 4D,2009,1000,20000
2010 Honda accord,2010,5000,14700
2008 Honda accord EX Sedan 4D,2008,2000,21000
2008 Honda accord EX Sedan 4D,2008,4500,18200
2008 Honda accord,2008,3800,16500
2008 Honda accord EX-L Coupe 2D,2008,2900,20000
2008 Honda accord EX-L Sedan 4D,2008,5000,19000
2008 Honda accord EX Coupe 2D,2008,4500,16500
2008 Honda accord LX Sedan 4D,2008,5000,12100
2008 Honda accord EX-L Sedan 4D,2008,7500,13000
2008 Honda accord LX-S Coupe 2D,2008,1620,17900
2008 Honda accord EX Sedan 4D,2008,2800,16800
2008 Honda accord  front-wheel drive,2008,1000,-1
2008 Honda accord LX Sedan 4D,2008,3500,17000
2009 Honda accord EX-L Coupe 2D,2009,5000,13300
2008 Honda accord EX Sedan 4D,2008,4800,17200
2008 Honda accord EX Coupe 2D,2008,4000,19000
-,2008 honda accord,"Richmond, VA",4480.0
2008 Honda accord EX-L Sedan 4D,2008,4700,20300
2008 Honda accord,2008,3900,17000
2008 Honda accord EX-L Coupe 2D,2008,5800,15000
2008 Honda accord EX-L Sedan 4D,2008,4000,14900
2006 Honda accord LX Sedan 4D,2006,4400,15200
2008 Honda accord EX Sedan 4D,2008,7000,15000
2009 Honda accord LX Sedan 4D,2009,1500,13500
2008 Honda accord LX Sedan 4D,2008,5000,12100
2015 Honda accord EX-L Sedan 4D,2015,2000,21600
2008 Honda accord LX-P Sedan 4D,2008,4965,-1
2008 Honda accord EX-L Coupe 2D,2008,6995,-1
2012 Honda accord LX Sedan 4D,2012,5000,17000
2008 Honda accord LX-P Sedan 4D,2008,5500,21400
2008 Honda accord EX-L Sedan 4D,2008,7500,13600
2008 Honda accord EX-L Coupe 2D,2008,4000,21200
2016 Honda accord ex-l,2016,1400,-1
2011 Honda accord EX-L Sedan 4D,2011,2500,14700
-,2008 honda accord,"Virginia Beach, VA",4483.42
2008 Honda accord,2008,3900,17000
2008 Honda accord EX-L Coupe 2D,2008,4000,21200
2008 Honda accord EX-L Coupe 2D,2008,5500,14800
2008 Honda accord EX-L Sedan 4D,2008,5995,15100
2008 Honda accord LX-P Sedan 4D,2008,5500,21400
2008 Honda accord LX-S Coupe 2D,2008,5500,18900
2008 Honda accord LX Sedan 4D,2008,3200,2300
2008 Honda accord EX-L Sedan 4D,2008,4600,11300
2008 Honda accord EX-L Sedan 4D,2008,0,12200
2008 Honda accord EX-L Coupe 2D,2008,5800,15000
2009 Honda accord EX Sedan 4D,2009,3900,17500
2008 Honda accord,2008,5500,-1
2008 Honda accord LX Sedan 4D,2008,6500,15100
2006 Honda accord Hybrid Sedan 4D,2006,3800,19100
2008 Honda accord LX Sedan 4D,2008,5995,15800
2011 Honda accord crosstour,2011,3000,12200
2009 Honda accord EX-L Sedan 4D,2009,4995,17000
2009 Honda accord LX Sedan 4D,2009,4500,12100
2011 Infiniti g37x,2011,3000,19300
-,2008 honda accord,"Orlando, FL",4157.4
2008 Honda accord EX Sedan 4D,2008,3200,18000
2008 Honda accord EX-L Coupe 2D,2008,2700,17000
2006 Honda accord EX Sedan 4D,2006,3200,13800
2008 Honda accord,2008,4150,25100
2005 Honda accord EX-L Coupe 2D,2005,2000,300
2008 Honda accord,2008,3400,21300
2008 Honda accord EX-L Sedan 4D,2008,4500,22000
2008 Honda accord EX Sedan 4D,2008,3300,21000
2009 Honda accord EX Coupe 2D,2009,3200,13000
2010 Honda accord LX Sedan 4D,2010,4999,11400
2008 Honda accord LX Sedan 4D,2008,3000,17700
2008 Honda accord EX Sedan 4D,2008,5500,-1
2010 Honda accord LX Sedan 4D,2010,4800,11400
2008 Honda accord LX Sedan 4D,2008,5200,15800
2009 Honda accord,2009,4000,20000
2008 Honda accord,2008,5099,12700
2008 Honda accord EX-L Sedan 4D,2008,4900,15600
2008 Honda accord,2008,5500,15500
2008 Honda accord EX-L Sedan 4D,2008,5000,17200
2009 Honda accord EX-L Sedan 4D,2009,5500,13500
-,2008 honda accord,"Jacksonville, FL",3588.18
2008 Honda accord,2008,5000,13300
2008 Honda accord,2008,3800,24000
2008 Honda accord EX Sedan 4D,2008,4500,14800
2008 Honda accord LX Sedan 4D,2008,4500,17100
2008 Honda accord EX-L Coupe 2D,2008,3600,15700
2007 Honda accord EX Sedan 4D,2007,3000,18600
2008 Honda accord EX-L Coupe 2D,2008,2700,17000
2006 Honda accord,2006,2400,20100
2006 Honda accord,2006,1800,30300
2008 Honda accord,2008,1899,8400
2008 Honda accord EX Sedan 4D,2008,3200,18000
2008 Honda accord EX Sedan 4D,2008,4500,16000
2008 Honda accord EX Sedan 4D,2008,3900,24500
2017 Honda accord Sport SE Sedan 4D,2017,3000,4000
2008 Honda accord EX Sedan 4D,2008,5500,14000
2008 Honda accord EX Sedan 4D,2008,5200,19400
2003 Honda accord,2003,2500,20000
-,2008 honda accord,"Philadelphia, PA",4120.21
2008 Honda accord EX-L Sedan 4D,2008,4600,11300
2008 Honda accord,2008,3800,17400
2008 Honda accord,2008,5500,-1
2008 Honda accord,2008,4500,18000
2008 Honda accord LX Sedan 4D,2008,4500,16000
2008 Honda accord,2008,5500,10800
2008 Honda accord EX Sedan 4D,2008,5250,13900
2008 Honda accord EX-L Sedan 4D,2008,4500,13000
2008 Honda accord EX-L Sedan 4D,2008,4500,16900
2008 Honda accord EX-L Sedan 4D,2008,3800,13000
2008 Honda accord EX-L Sedan 4D,2008,1234,20000
2008 Honda accord EX-L Sedan 4D,2008,3500,16700
2008 Honda accord LX-P Sedan 4D,2008,4250,17400
2009 Honda accord EX Sedan 4D,2009,3200,11100
2008 Honda accord EX Coupe 2D,2008,4000,22000
2011 Honda accord,2011,3000,16400
2009 Honda accord EX Sedan 4D,2009,4050,16200
2008 Honda accord EX-L Sedan 4D,2008,3500,21000
2008 Honda accord EX Sedan 4D,2008,5100,11000
-,2008 honda accord,"Pittsburgh, PA",4143.44
2008 Honda accord,2008,5500,-1
2008 Honda accord,2008,6500,11100
2008 Honda accord EX Coupe 2D,2008,5000,16100
2008 Honda accord,2008,3900,17000
2008 Honda accord EX-L Sedan 4D,2008,6495,7500
2016 Honda accord ex-l,2016,1400,-1
2008 Honda accord,2008,3800,13000
2008 Honda cr-v,2008,1200,8900
2008 Honda accord EX Sedan 4D,2008,4000,15400
2008 Honda accord EX Coupe 2D,2008,4000,24900
2009 Honda accord EX Sedan 4D,2009,8000,9400
2008 Honda accord EX Sedan 4D,2008,3700,20400
2003 Honda accord LX Sedan 4D,2003,1100,19100
2008 Honda accord EX Sedan 4D,2008,4200,21100
2008 Honda accord EX-L Sedan 4D,2008,4600,11300
2008 Honda accord LX Sedan 4D,2008,2900,26700
-,2008 honda accord,"Baltimore, MD",3060.24
2008 Honda accord ex-l,2008,800,-1
2008 Honda accord,2008,3900,17000
2008 Honda accord,2008,3000,14300
2008 Honda accord EX-L Coupe 2D,2008,2900,20000
2008 Honda accord,2008,3800,16500
2008 Honda accord  front-wheel drive,2008,1000,-1
2008 Honda accord EX Coupe 2D,2008,4000,19000
2008 Honda accord EX Sedan 4D,2008,4800,17200
2008 Honda accord EX Coupe 2D,2008,2700,20500
2008 Honda accord LX-S Coupe 2D,2008,1620,17900
2008 Honda accord ex-l,2008,800,-1
2010 Honda accord,2010,5000,14700
2009 Honda accord EX-L Coupe 2D,2009,5000,13300
2008 Honda accord EX Sedan 4D,2008,4500,18200
2009 Honda accord EX-L Coupe 2D,2009,3000,16500
2010 Honda accord EX-L Sedan 4D,2010,3500,18000
2008 Honda accord EX Coupe 2D,2008,2700,20500
2008 Honda accord LX Sedan 4D,2008,3500,17000
2008 Honda accord EX Sedan 4D,2008,2900,23200
2008 Honda accord EX Sedan 4D,2008,3350,25400
2007 Honda accord LX Sedan 4D,2007,1495,20600
-,2008 honda accord,"New York City, NY",3749.53
2008 Honda accord,2008,5500,15900
2008 Honda accord LX Sedan 4D,2008,4450,16000
2008 Honda accord EX Sedan 4D,2008,4600,16500
2008 Honda accord EX-L Sedan 4D,2008,980,19000
2008 Honda accord EX-L Sedan 4D,2008,4200,16200
2008 Honda accord EX Sedan 4D,2008,3500,19900
2008 Honda accord exl 4dr 5-speed,2008,1006,-1
2008 Honda accord EX Sedan 4D,2008,5900,12800
2008 Honda accord EX Coupe 2D,2008,3500,21500
2008 Honda accord EX-L Sedan 4D,2008,4700,15500
2008 Honda accord,2008,1200,10700
2008 Honda accord LX Sedan 4D,2008,5900,13600
2008 Honda accord LX-S Coupe 2D,2008,2000,18000
2008 Honda accord exl 4dr 5-speed,2008,1006,-1
2008 Honda accord LX-P Sedan 4D,2008,3200,15200
2008 Honda accord LX Sedan 4D,2008,5600,14000
2008 Honda accord EX-L Sedan 4D,2008,6500,10600
-,2008 honda accord,"Atlanta, GA",4750.0
2012 Honda accord,2012,2500,8900
2008 Honda accord Ex,2008,3950,22500
2008 Honda accord LX-S Coupe 2D,2008,6500,12500
2008 Honda accord LX-P Sedan 4D,2008,5800,14300
2008 Honda accord EX-L Sedan 4D,2008,5250,14700
2007 Honda accord LX Sedan 4D,2007,3800,16000
2008 Honda accord EX Sedan 4D,2008,3700,24400
2008 Honda accord EX Sedan 4D,2008,4900,18800
2010 Honda accord LX Sedan 4D,2010,5800,13600
2008 Honda accord EX Sedan 4D,2008,5000,18000
2008 Honda accord LX Sedan 4D,2008,5900,14000
2008 Honda accord EX Sedan 4D,2008,4500,2000
2008 Honda accord EX-L Sedan 4D,2008,5550,17700
2008 Honda accord EX Sedan 4D,2008,4300,19900
2008 Honda accord EX-L Coupe 2D,2008,4500,19600
2008 Honda accord EX-L Sedan 4D,2008,4500,23000
2008 Honda accord EX Coupe 2D,2008,4000,1500
2008 Honda accord EX Coupe 2D,2008,4000,19000
2008 Honda accord LX-S Coupe 2D,2008,5800,16500
-,2008 honda accord,"Newark, NJ",3770.37
2008 Honda accord LX Sedan 4D,2008,4450,16000
2008 Honda accord EX Sedan 4D,2008,4600,16500
2008 Honda accord EX Sedan 4D,2008,3500,19900
2008 Honda accord,2008,5500,15900
2008 Honda accord EX-L Sedan 4D,2008,4200,16200
2008 Honda accord,2008,1200,10700
2008 Honda accord,2008,4495,23200
2008 Honda accord EX Sedan 4D,2008,5900,12800
2008 Honda accord LX Sedan 4D,2008,5900,13600
2008 Honda accord EX-L Sedan 4D,2008,980,19000
2008 Honda accord EX-L Sedan 4D,2008,2900,18900
2008 Honda accord LX-P Sedan 4D,2008,3200,15200
2008 Honda accord EX Sedan 4D,2008,4000,19000
2008 Honda accord LX Sedan 4D,2008,5600,14000
2008 Honda accord exl 4dr 5-speed,2008,1006,-1
2008 Honda accord LX Sedan 4D,2008,2900,21000
2008 Honda accord EX Coupe 2D,2008,3500,21500
2008 Honda accord exl 4dr 5-speed,2008,1006,-1
2008 Honda accord LX Sedan 4D,2008,6800,-1
-,2008 honda accord,"Cleveland, OH",3933.28
2008 Honda accord EX Sedan 4D,2008,4000,15400
2008 Honda accord EX Coupe 2D,2008,5000,16100
2008 Honda accord,2008,5500,-1
2012 Honda accord SE Sedan 4D,2012,3500,21200
2009 Honda accord EX Sedan 4D,2009,6300,9800
2008 Honda accord EX-L Sedan 4D,2008,5000,16300
2008 Honda accord EX Sedan 4D,2008,3900,18300
2008 Honda accord,2008,5800,20200
2008 Honda accord LX Sedan 4D,2008,2900,26700
2016 Honda accord ex-l,2016,1400,-1
2008 Honda accord,2008,3800,13000
2008 Honda accord,2008,1234,12300
2009 Honda accord EX-L Sedan 4D,2009,6590,9700
2008 Honda accord LX-P Sedan 4D,2008,3775,17000
2007 Honda accord SE Sedan 4D,2007,3000,15000
2012 Honda Accord ex,2012,1200,-1
2008 Honda accord EX Sedan 4D,2008,4000,14700
2008 Honda accord,2008,3900,17000
-,2008 honda accord,"Charlotte, NC",3952.88
2008 Honda accord Lx sedan,2008,1500,39400
2008 Honda accord,2008,6000,11700
2008 Honda accord EX-L Sedan 4D,2008,1200,12800
2008 Honda accord,2008,1200,12800
2009 Honda accord EX-L Sedan 4D,2009,3300,20000
2008 Honda accord,2008,5500,18100
2006 Honda accord,2006,2599,23400
2008 Honda accord,2008,3400,22700
2008 Honda accord LX Sedan 4D,2008,5900,11900
2008 Honda accord EX-L Sedan 4D,2008,2000,12900
2008 Honda accord,2008,5500,20000
2006 Honda accord LX Sedan 4D,2006,3400,21200
2007 Honda civic LX Sedan 4D,2007,4000,14200
2012 Honda accord,2012,3500,12000
2008 Honda accord LX Sedan 4D,2008,5000,19700
2008 Honda accord EX-L Coupe 2D,2008,6800,15600
2009 Honda accord EX-L Coupe 2D,2009,6400,12500
-,2008 honda accord,"Nashville, TN",4717.29
2008 Honda accord EX Sedan 4D,2008,3500,16600
2008 Honda accord EX-L Sedan 4D,2008,5500,18300
2008 Honda accord,2008,6000,17000
2009 Honda accord EX Sedan 4D,2009,2800,29000
2012 Honda accord LX Sedan 4D,2012,6950,9300
2008 Honda accord,2008,4500,19200
2008 Honda accord EX-L Coupe 2D,2008,1234,14400
2008 Honda accord LX Sedan 4D,2008,6000,21700
2008 Honda accord EX Coupe 2D,2008,4900,18000
2010 Honda accord EX-L Sedan 4D,2010,4900,16600
2008 Honda accord,2008,5500,18200
2009 Honda accord LX Sedan 4D,2009,5500,12500
2008 Honda accord,2008,2800,30000
2010 Honda accord 4d,2010,4500,24100
2009 Honda accord,2009,2920,19800
2009 Honda accord LX Sedan 4D,2009,5700,15900
