NAME,YEAR,PRICE,MILES
-,kawasaki ninja 300,"Washington, DC",75925
2007 Kawasaki ninja,2007,1200,300
2015 Kawasaki ninja,2015,3600,18000
2012 Kawasaki ninja,2012,4000,18000
2015 Kawasaki ninja,2015,3200,7600
2014 Kawasaki ninja 300abs,2014,3500,14000
2013 Kawasaki ninja,2013,1200,29000
2020 Kawasaki ninja,2020,5000,300
2021 Kawasaki ninja,2021,5130,300
2012 Kawasaki 600r,2012,2500,10000
2018 Kawasaki 2018 ninja 400,2018,5175,2900
2023 Kawasaki ninja,2023,6500,8800
2013 Kawasaki ninja,2013,3000,10000
2023 Kawasaki ninja,2023,6000,4000
2021 Kawasaki ninja 400 abs,2021,4500,1000
2009 Kawasaki ninja,2009,2500,13000
2011 Kawasaki ninja,2011,1820,20000
2018 Kawasaki ninja,2018,5500,8000
2012 Kawasaki ninja,2012,2500,1100
2014 Kawasaki ninja,2014,6200,19000
2014 Kawasaki ninja,2014,2900,15000
-,kawasaki ninja 300,"Richmond, VA",70429
2023 Kawasaki ninja 400 abs,2023,5500,4100
2017 Kawasaki ninja,2017,3000,14000
2015 Kawasaki ninja,2015,3600,18000
2009 Kawasaki ninja,2009,2600,16000
2016 Kawasaki ninja,2016,2500,2700
2007 Kawasaki ninja,2007,1200,300
2008 Kawasaki ninja,2008,2000,33000
2014 Kawasaki ninja 300abs,2014,3500,14000
2014 Kawasaki ninja,2014,2500,12000
2013 Kawasaki ninja,2013,1200,29000
2001 Kawasaki sport,2001,1800,19000
2013 Kawasaki ninja,2013,2500,12000
2021 Kawasaki ninja,2021,5130,300
2015 Kawasaki ninja,2015,3200,7600
2015 Kawasaki ninja,2015,4500,8000
2016 Kawasaki ninja,2016,4200,12000
2016 Kawasaki ninja 300 se,2016,2499,5000
2014 Kawasaki ninja,2014,4000,21000
1992 Kawasaki ninja,1992,2000,16000
2023 Kawasaki ninja,2023,6500,8800
2016 Kawasaki ninja,2016,3500,10000
2013 Kawasaki ninja,2013,3000,10000
-,kawasaki ninja 300,"Washington, DC",79324
2007 Kawasaki ninja,2007,1200,300
2015 Kawasaki ninja,2015,3600,18000
2012 Kawasaki ninja,2012,4000,18000
2015 Kawasaki ninja,2015,3200,7600
2013 Kawasaki ninja,2013,1200,29000
2020 Kawasaki ninja,2020,5000,300
2014 Kawasaki ninja 300abs,2014,3500,14000
2012 Kawasaki 600r,2012,2500,10000
2018 Kawasaki 2018 ninja 400,2018,5175,2900
2013 Kawasaki ninja,2013,3000,10000
2023 Kawasaki ninja,2023,6500,8800
2014 Kawasaki ninja,2014,2900,15000
2009 Kawasaki ninja,2009,1000,28000
2014 Kawasaki ninja,2014,3200,11000
2018 Kawasaki ninja,2018,5500,8000
2014 Kawasaki Ninja,2014,3400,3000
2013 Kawasaki ninja,2013,3999,14000
2014 Kawasaki ninja,2014,6200,19000
2011 Kawasaki ninja,2011,1820,20000
2021 Kawasaki ninja,2021,5130,300
2021 Kawasaki ninja 400 abs,2021,4500,1000
2022 Kawasaki xpro x24,2022,2800,600
-,kawasaki ninja 300,"Washington, DC",76694
2007 Kawasaki ninja,['2007'],1200,300
2015 Kawasaki ninja,['2015'],3600,18000
2012 Kawasaki ninja,['2012'],4000,18000
2015 Kawasaki ninja,['2015'],3200,7600
2013 Kawasaki ninja,['2013'],1200,29000
2020 Kawasaki ninja,['2020'],5000,300
2014 Kawasaki ninja 300abs,['2014'],3500,14000
2012 Kawasaki 600r,['2012'],2500,10000
2018 Kawasaki 2018 ninja 400,"['2018', '2018']",5175,2900
2013 Kawasaki ninja,['2013'],3000,10000
2023 Kawasaki ninja,['2023'],6500,8800
2014 Kawasaki ninja,['2014'],3400,3000
2014 Kawasaki ninja,['2014'],2900,15000
2014 Kawasaki ninja,['2014'],3200,11000
2018 Kawasaki ninja,['2018'],5500,8000
2013 Kawasaki ninja,['2013'],3999,14000
2009 Kawasaki ninja,['2009'],1000,28000
2014 Kawasaki ninja,['2014'],6200,19000
2011 Kawasaki ninja,['2011'],1820,20000
2021 Kawasaki ninja 400 abs,['2021'],4500,1000
2009 Kawasaki ninja,['2009'],2500,13000
2022 Kawasaki xpro x24,['2022'],2800,600
-,kawasaki ninja 300,"Washington, DC",76694
2007 Kawasaki ninja,2007,1200,300
2015 Kawasaki ninja,2015,3600,18000
2012 Kawasaki ninja,2012,4000,18000
2015 Kawasaki ninja,2015,3200,7600
2013 Kawasaki ninja,2013,1200,29000
2020 Kawasaki ninja,2020,5000,300
2014 Kawasaki ninja 300abs,2014,3500,14000
2012 Kawasaki 600r,2012,2500,10000
2018 Kawasaki 2018 ninja 400,2018,5175,2900
2013 Kawasaki ninja,2013,3000,10000
2023 Kawasaki ninja,2023,6500,8800
2014 Kawasaki ninja,2014,3400,3000
2014 Kawasaki ninja,2014,2900,15000
2014 Kawasaki ninja,2014,3200,11000
2018 Kawasaki ninja,2018,5500,8000
2013 Kawasaki ninja,2013,3999,14000
2009 Kawasaki ninja,2009,1000,28000
2014 Kawasaki ninja,2014,6200,19000
2011 Kawasaki ninja,2011,1820,20000
2021 Kawasaki ninja 400 abs,2021,4500,1000
2009 Kawasaki ninja,2009,2500,13000
2022 Kawasaki xpro x24,2022,2800,600
-,kawasaki ninja 300,"Washington, DC",61093
2015 Kawasaki ninja,2015,3600,18000
2007 Kawasaki ninja,2007,1200,300
2015 Kawasaki ninja,2015,3200,7600
2012 Kawasaki ninja,2012,4000,18000
2014 Kawasaki ninja 300abs,2014,3500,14000
2013 Kawasaki ninja,2013,1200,29000
2012 Kawasaki 600r,2012,2500,10000
2020 Kawasaki ninja,2020,5000,300
2016 Kawasaki ninja 300 se,2016,2499,5000
2013 Kawasaki ninja,2013,3000,10000
2014 Kawasaki ninja,2014,3200,11000
2009 Kawasaki ninja,2009,2500,13000
2013 Kawasaki ninja,2013,3999,14000
2008 Kawasaki ninja,2008,2000,33000
2018 Kawasaki 2018 ninja 400,2018,5175,2900
2023 Kawasaki ninja,2023,6500,8800
2014 Kawasaki ninja,2014,3400,3000
2011 Kawasaki ninja,2011,1820,20000
2022 Kawasaki xpro x24,2022,2800,600
-,kawasaki ninja 300,"Washington, DC",77094
2007 Kawasaki ninja,2007,1200,300
2015 Kawasaki ninja,2015,3600,18000
2012 Kawasaki ninja,2012,4000,18000
2015 Kawasaki ninja,2015,3200,7600
2013 Kawasaki ninja,2013,1200,29000
2014 Kawasaki ninja 300abs,2014,3500,14000
2020 Kawasaki ninja,2020,5000,300
2012 Kawasaki 600r,2012,2500,10000
2014 Kawasaki ninja,2014,3400,3000
2018 Kawasaki 2018 ninja 400,2018,5175,2900
2013 Kawasaki ninja,2013,3000,10000
2023 Kawasaki ninja,2023,6500,8800
2009 Kawasaki ninja,2009,2500,13000
2009 Kawasaki ninja,2009,1000,28000
2011 Kawasaki ninja,2011,1820,20000
2018 Kawasaki ninja,2018,5500,8000
