NAME,YEAR,PRICE,MILES
2021 Kawasaki ninja 400 trades,2021,-2,600
2012 Kawasaki ninjia,2012,1350,1800
1994 Kawasaki ninja 500ex,1994,1900,1500
2021 Kawasaki ninja replica,2021,1800,1500
2012 Kawasaki ninja,2012,2900,1000
2023 Kawasaki ninja,2023,5000,100
2017 Kawasaki ninja,2017,4000,2600
2023 Kawasaki ninja trade,2023,1234,2700
2012 Kawasaki ninja,2012,2500,2700
2010 Kawasaki ninja,2010,1234,1000
2009 Kawasaki klx250sf,2009,3300,500
2023 CFMOTO 300ss,2023,4500,1800
2010 Kawasaki 250r special edition,2010,3000,4100
1998 Kawasaki ninja,1998,800,4600
2019 Kawasaki ninja,2019,7000,3300
2015 Kawasaki ninja 300 special edition,2015,3500,1200
2016 Kawasaki ninja,2016,3500,1800
-,kawasaki ninja 300,"Baltimore, MD",3587.24
2013 Kawasaki ninja,2013,3600,3200
2007 Kawasaki zzr,2007,2000,1600
2012 Kawasaki ninja,2012,2600,1700
2009 Kawasaki ninja,2009,1234,800
2019 Kawasaki ninja 650,2019,6000,1300
2014 Kawasaki ninja,2014,3500,1400
2023 Kawasaki ninja,2023,6500,8800
2008 Kawasaki ninja,2008,3500,8600
2014 Kawasaki ninja,2014,5000,1200
2017 Kawasaki ninja,2017,4299,1000
2019 Kawasaki ninja 650ex,2019,3000,1100
2014 Kawasaki ninja,2014,3800,3400
2019 Kawasaki ninja 650 abs,2019,6000,1500
2020 Kawasaki ninja ex400 glf abs,2020,3999,675
2018 Kawasaki ninja,2018,3900,2000
2016 Kawasaki ninja 300,2016,2500,2500
2018 Kawasaki ninja,2018,5500,800
2014 Kawasaki ninja,2014,1600,7300
2012 Kawasaki ninja,2012,1800,500
2006 Kawasaki kx,2006,-2,9900
2015 Kawasaki ninja,2015,5000,1300
-,kawasaki ninja 300,"New York City, NY",2899.95
2020 A.P.C Motor Company ninja r3,2020,2000,100
2021 Kawasaki z,2021,2700,200
2012 Kawasaki ninja,2012,2650,3700
2016 BMW s 1000,2016,-2,300
2014 Kawasaki ninja,2014,3500,8600
2016 Kawasaki ninja,2016,4500,1300
2013 Kawasaki,2013,4200,4900
2004 Kawasaki ninja,2004,2000,100
2011 Kawasaki ninja,2011,1350,1000
2013 Kawasaki ninja,2013,3500,1300
1993 Suzuki gsx1100g,1993,2300,4600
2004 BMW 3 series 325i Sedan 4D,2004,2000,19000
2012 Honda cbr,2012,1000,1200
2023 Electric motorcycle kawasaki,2023,1499,-1
2012 Kawasaki ninja,2012,3500,4500
2011 Kawasaki ninja,2011,2700,5300
2015 Kawasaki ninja 300 sport abs,2015,5500,1400
2017 Kawasaki ninja,2017,3800,1000
2013 Kawasaki ninja,2013,4800,3400
2017 Kawasaki ninja,2017,4500,4600
-,kawasaki ninja 300,"Atlanta, GA",2694.2
2015 Kawasaki ninja,2015,3800,1900
2017 Yamaha yzf-r3 abs,2017,2250,2000
2017 Hyosung gd250r,2017,3000,500
2004 Honda cbr,2004,4000,2400
2017 Kawasaki ninja,2017,6000,300
2015 Yamaha yzf,2015,3500,3500
2002 Kawasaki klx 110cc,2002,1500,300
2019 Kawasaki ninja,2019,-2,700
2008 Kawasaki ninja,2008,2000,200
2011 Kawasaki ninja,2011,2500,1500
2008 Suzuki ltz,2008,-2,300
2022 Kawasaki jiangsu,2022,1000,500
2017 Honda cb300f,2017,3300,2600
